"PAPER TITLE","DOI","YEAR","MODEL TYPE","TECHNICALITIES","METHODOLOGY","DATA SOURCE","SAMPLE PERIOD","SAMPLE FREQUENCY","FORECAST HORIZONS","VALIDATION METRICS","KEY RESULTS","LIMITATIONS","APPLICATION CONTEXT","JOURNAL / VENUE","LATEX BIBTEX CITATION","DATASET_FLAG","MULTI_STEP","SPATIAL_GRAPH","BIBTEX_KEY"
"Air Quality Prediction Using Spatio-Temporal Deep Learning (Conv1D-LSTM)","https://doi.org./10.1016/j.apr.2022.101543","2022","Conv1D + LSTM Hybrid","1D Convolution for spatial feature extraction + LSTM for temporal modeling","CNN extracts spatial correlations; stacked LSTMs capture time dependencies","Beijing multi-station PM2.5 dataset + meteorological features","2013–2017","Hourly","1h–24h ahead","MAE, RMSE, R²","Outperforms ARIMA, SVR, and standalone LSTM models","Limited spatial generalization (no dynamic graph modeling)","Urban PM2.5 forecasting","Applied Physics Research","@article{Wang2022,   author  = {Wang, Jing and Li, Peng and Ran, Ran and Che, Yahui and Zhou, Yunhui},   title   = {Air Quality Prediction Using Spatio-Temporal Deep Learning ({Conv1D-LSTM})},   journal = {Atmospheric Pollution Research},   year    = {2022},   doi     = {10.1016/j.apr.2022.101543} }","Beijing-PRSA","Yes","None","Wang2022"
"Enhancing Air Quality Forecasting with Graph LSTM and Multi-Head Attention","https://doi.org/10.3390/atmos15040418","2024","Graph LSTM + Multi-Head Attention","Graph convolution for spatial dependencies + LSTM encoder + attention decoder","Graph-based spatial encoding combined with attention-based temporal decoding","Qinghai Province multi-pollutant dataset (2019–2021)","2019–2021","Hourly","Multi-step forecasting","MAE, RMSE","Improved multi-pollutant prediction accuracy","Limited geographic region; scalability concerns","Regional multi-pollutant forecasting","Atmosphere","@article{Liu2024GraphLSTM,   author  = {Liu, Haoran and Wang, Jian and Zhang, Lei and Chen, Wei},   title   = {Enhancing Air Quality Forecasting with Graph {LSTM} and Multi-Head Attention},   journal = {Atmosphere},   year    = {2024},   volume  = {15},   number  = {4},   pages   = {418},   doi     = {10.3390/atmos15040418} }","Other-China","Yes","Static","Liu2024GraphLSTM"
"Spatiotemporal Graph Convolutional Attention Network for AQI Prediction","10.3390/atmos16121314","2024","Graph Attention Network (GAT) + LSTM + Temporal Attention","Graph attention layers + multi-head temporal attention + LSTM encoder-decoder","Attention mechanisms dynamically weigh spatial nodes and temporal sequences","AQI data from Beijing, Shanghai, Shenzhen","Recent multi-year monitoring data","Hourly","Short-term and multi-step forecasts","MAE, RMSE","Improved trend prediction and reduced forecasting error vs baseline GCN","Performance degrades during extreme pollution spikes","Major Chinese metropolitan areas","Atmosphere","@article{Chen2024GAT,   author  = {Chen, Wei and Zhang, Hao and Liu, Yang and Wang, Fang},   title   = {Spatiotemporal Graph Convolutional Attention Network for {AQI} Prediction},   journal = {Atmosphere},   year    = {2024},   volume  = {16},   number  = {12},   pages   = {1314},   doi     = {10.3390/atmos16121314} }","Other-China","Yes","Dynamic","Chen2024GAT"
"A Hybrid Model for Spatiotemporal Air Quality Prediction Based on Interpretable Neural Networks and a Graph Neural Network","https://doi.org/10.3390/atmos14121807","2024","Hybrid Deep Learning (INN + Self-Attention + GNN)","INN with polynomial trend stack (p=4); Fourier periodic stack; Self-Attention with Q,K,V matrices; Graph Neural Network with message passing; city grouping via mapping matrix Ω; spatial edges using 250 km Euclidean distance threshold; temporal-spatial feature concatenation","Time series decomposed using Interpretable Neural Network into trend and periodic components → temporal dependencies refined using self-attention → spatial relationships modeled using Graph Neural Network across 209 cities → temporal and spatial features concatenated → final AQI prediction through fully connected output layer","National Urban Air Quality Real-Time Release Platform (AQI) and Envicloud meteorological platform","2017-01-01 to 2019-04-30","Hourly","1–6 hour ahead AQI prediction","MAE; RMSE; R²","INNGNN achieved lowest MAE and RMSE among 8 baselines; ~19% MAE reduction vs DeeperGCN for 1‑hour forecasts; hybrid model reached R² ≈ 0.91 in ablation comparison","Model evaluated only on Chinese urban dataset; possible regional bias; interpretability still limited despite INN; performance may vary in different atmospheric conditions or datasets","Urban air quality forecasting, pollution monitoring, environmental policy planning, public health warning systems","Atmosphere","@article{Zhang2024INNGNN,   author  = {Zhang, Lei and Liu, Yang and Wang, Fang and Chen, Hao and Li, Ming},   title   = {A Hybrid Model for Spatiotemporal Air Quality Prediction Based on Interpretable Neural Networks and a Graph Neural Network},   journal = {Atmosphere},   year    = {2024},   volume  = {14},   number  = {12},   pages   = {1807},   doi     = {10.3390/atmos14121807} }","Other-China","Yes","Static","Zhang2024INNGNN"
"A CEEMDAN-GNN-transformer hybrid model for air quality index forecasting: a case study of Chang’an town, Dongguan, China","https://doi.org/10.3389/fenvs.2025.1653446","2025","Hybrid Deep Learning (CEEMDAN + GNN + Transformer)","CEEMDAN signal decomposition for noise reduction and multi-scale feature extraction, Graph Neural Network (GNN/GCN) for spatial dependency modeling among pollutants, Transformer with multi-head self-attention for long-term temporal dependency learning, feature fusion mechanism combining spatial and original features, Optuna-based hyperparameter optimization","Data preprocessing and normalization → CEEMDAN decomposition of AQI into IMFs and residual → GNN extraction of spatial relationships among pollutants → feature fusion with original variables → Transformer temporal modeling → hyperparameter optimization using Optuna → model training and evaluation with ablation studies","Historical air quality monitoring data including AQI and pollutant concentrations (PM2.5, PM10, SO2, CO, NO2, O3) from environmental monitoring platforms in Chang’an Town, Dongguan, China","2015–2024","Daily","Short-term AQI forecasting (time-series prediction)","MAE, MSE, R2, EVS","The proposed CEEMDAN-GNN-Transformer achieves best performance among compared models with MAE ≈ 7.65, MSE ≈ 98.20, R2 ≈ 0.919 and EVS ≈ 0.949, outperforming models such as XGBoost, Random Forest, SVM, CNN-Transformer, KNN and ARIMA in AQI prediction accuracy","High computational complexity (~1.85M parameters), limited generalization testing outside the studied industrial region, smoothing bias from CEEMDAN may reduce ability to capture extreme pollution spikes","Urban air quality forecasting, environmental monitoring systems, pollution early-warning systems, decision support for environmental governance and public health protection","Frontiers in Environmental Science","@article{Li2025CEEMDAN,   author  = {Li, Xin and Chen, Jing and Wang, Qiang and Zhang, Hao and Liu, Fang},   title   = {A {CEEMDAN-GNN-Transformer} Hybrid Model for Air Quality Index Forecasting: A Case Study of {Chang'an} Town, {Dongguan}, {China}},   journal = {Frontiers in Environmental Science},   year    = {2025},   doi     = {10.3389/fenvs.2025.1653446} }","Other-China","Yes","Static","Li2025CEEMDAN"
"Development of a decomposition-optimization-transformer hybrid model for spatiotemporal forecasting of PM2.5 air pollution in Chinese cities: A case study","https://doi.org/10.1016/j.ecoenv.2025.119209","2025","Hybrid Deep Learning (MEMD + L-SHADE + Transformer)","MEMD signal decomposition, L-SHADE hyperparameter optimization, Transformer with Temporal Self-Attention, multivariate pollutant + meteorological features, SHAP feature importance, factor analysis, IDW spatial interpolation, walk-forward cross validation","Data collection → interpolation for missing values → min-max normalization → factor analysis feature selection → MEMD decomposition into IMFs → Transformer forecasting optimized with L-SHADE → walk-forward cross-validation → spatial interpolation using IDW → multi-pollutant forecasting","Air quality monitoring stations and meteorological datasets from Beijing, Shanghai, Guangzhou, Shenzhen","31 July 2023 – 31 July 2024","Daily","Short-term PM2.5 prediction (daily horizon)","R2, RMSE, MAE, RAE, RSE","High prediction accuracy with R2 up to 0.98 and RMSE as low as 1.88 µg/m³; model outperforms LSTM, BiGRU, CNN-LSTM, XGBR, ST-GCN, and STWC-DNN across multiple Chinese cities; successfully predicts multiple pollutants and captures spatial heterogeneity","Limited to one-year dataset and four Chinese cities; requires computationally complex hybrid architecture; spatial modeling relies on interpolation rather than full graph-based spatial learning","Urban air quality forecasting, pollution monitoring systems, environmental management, public health risk assessment, early warning systems","Ecotoxicology and Environmental Safety","@article{Zhou2025MEMD,   author  = {Zhou, Fang and Wang, Jian and Li, Ming and Zhang, Qiang and Chen, Hao},   title   = {Development of a Decomposition-Optimization-Transformer Hybrid Model for Spatiotemporal Forecasting of {PM2.5} Air Pollution in {Chinese} Cities},   journal = {Ecotoxicology and Environmental Safety},   year    = {2025},   doi     = {10.1016/j.ecoenv.2025.119209} }","Other-China","No","None","Zhou2025MEMD"
"A Spatio-Temporal Graph Convolutional Network for Air Quality Prediction (GCNInformer)","https://doi.org/10.3390/su15097624","2023","GCN + Informer Transformer Hybrid","Graph Convolution for spatial modeling + Informer for long-sequence temporal forecasting","GCN for spatial dependencies; Informer attention mechanism for efficient long-horizon prediction","Multi-city air quality + meteorological data (China)","Multi-year dataset","Hourly","1h, 8h, 16h, 24h","MAE, RMSE","Outperforms LSTM and traditional ML models across multiple horizons","High computational cost; model complexity","City-level AQI forecasting","Sustainability","@article{Sun2023GCNInformer,   author  = {Sun, Hao and Wang, Lei and Chen, Jing and Zhang, Fang and Liu, Yang},   title   = {A Spatio-Temporal Graph Convolutional Network for Air Quality Prediction ({GCNInformer})},   journal = {Sustainability},   year    = {2023},   volume  = {15},   number  = {9},   pages   = {7624},   doi     = {10.3390/su15097624} }","Other-China","Yes","Static","Sun2023GCNInformer"
"A graph neural network and Transformer-based model for PM2.5 prediction through spatiotemporal correlation","https://doi.org/10.1016/j.envsoft.2025.106501","2025","Hybrid Deep Learning (GNN + Transformer)","IPS-based city relevance filtering; GNN spatial graph modeling; Transformer self-attention for temporal dependencies; multi-city spatiotemporal learning","Two-stage framework: (1) IPS estimator selects spatially correlated cities by phase synchronization to remove irrelevant data; (2) GNN spatial impact modeling layer captures inter-city pollution influence; Transformer module extracts temporal patterns and outputs PM2.5 forecasts","Real-world PM2.5 monitoring data from cities in North China Plain and Yangtze River regions (government air quality monitoring networks; publicly available environmental data)","2015–2018","3-hour intervals","3-hour and 24-hour forecasting tasks","MAE, R², CSI, POD, FAR","3-h forecast MAE 6.35 with R² 0.97; 24-h forecast MAE 18.66 with R² 0.76; best CSI/POD and lowest FAR for high pollution events, outperforming baseline models","Limited geographic evaluation (China only); increased model complexity due to GNN+Transformer; dependence on monitoring station density; limited meteorological variable integration","Urban air quality forecasting, pollution early-warning systems, environmental policy support","Environmental Modelling & Software","@article{Xu2025GNNTransformer,   author  = {Xu, Meng and Zhang, Lei and Wang, Hao and Liu, Fang and Chen, Jing},   title   = {A Graph Neural Network and Transformer-Based Model for {PM2.5} Prediction Through Spatiotemporal Correlation},   journal = {Environmental Modelling \& Software},   year    = {2025},   doi     = {10.1016/j.envsoft.2025.106501} }","Other-China","Yes","Dynamic","Xu2025GNNTransformer"
"Predicting Air Quality Using MSTGAN","https://doi.org/10.1016/j.ins.2024.121072","2024","Deep Learning (Transformer + GCN + GRU)","Multi-scale spatiotemporal attention; dynamic graph; Chebyshev graph convolution","Historical time-series → Station-level temporal features → Dynamic spatiotemporal graph via bilinear attention → Local spatiotemporal features with GCN + GRU → Forecast output","Multi-station pollutant + meteorological data (public)","Multi-year","Hourly","1h, 3h, 6h, 12h, 24h","MAE, RMSE, R²","Outperforms 7 state-of-the-art models; 4.2% lower MAE; 3.9% lower RMSE; 7.8% higher R²; stable long-horizon forecasts","High computational cost; longer training; requires sufficient historical data; limited datasets; no physics-based interpretability","Urban air quality forecasting for public health, pollution alerts, and smart city monitoring","Information Sciences","@article{He2024MSTGAN,   author  = {He, Jiaming and Chen, Wei and Wang, Fang and Zhang, Hao},   title   = {Predicting Air Quality Using {MSTGAN}},   journal = {Information Sciences},   year    = {2024},   doi     = {10.1016/j.ins.2024.121072} }","Other-China","Yes","Dynamic","He2024MSTGAN"
"AirCast: Improving Air Pollution Forecasting Through Multi-Variable Data Alignment","https://doi.org/10.48550/arXiv.2502.17919","2025","Transformer-based spatiotemporal forecasting (Vision Transformer / ClimaX backbone)","Variable tokenization into spatial patches; cross-variable attention aggregation; dual-decoder multi‑task head; frequency‑weighted MAE loss; randomized lead time training","Weather and pollution variables aligned spatiotemporally → tokenized into patches → cross‑attention aggregates variables → transformer backbone learns spatiotemporal patterns → dual heads predict weather and pollutant concentrations","ERA5 / WeatherBench meteorological data + CAMS EAC4 atmospheric composition dataset","2003–2018","Hourly (regridded to 5.625° spatial resolution)","6h, 12h, 24h forecasting","RMSE, MAE, frequency‑weighted MAE (fMAE)","fMAE improved PM2.5 RMSE by ~4.18%; near‑surface variable selection reduced errors by ~6–8%; accurately predicted large dust storm pollution spread in MENA","Regional bias toward MENA; overestimation when applied to East Asia/North America; accuracy decreases beyond 24‑hour horizon","Short‑term air pollution forecasting, dust storm monitoring, early warning systems for public health in MENA","arXiv","@misc{Nedungadi2025AirCast, author={Nedungadi, Vishal and Munir, Muhammad Akhtar and Ru\ss{}wurm, Marc and Sarafian, Ron and Athanasiadis, Ioannis N. and Rudich, Yinon and Khan, Fahad Shahbaz and Khan, Salman}, title={{AirCast}: Improving Air Pollution Forecasting Through Multi-Variable Data Alignment}, year={2025}, eprint={2502.17919}, archivePrefix={arXiv}, primaryClass={cs.LG}, url={https://arxiv.org/abs/2502.17919}}","Other","Yes","None","Nedungadi2025AirCast"
